Round,R2,RMSE,MAE,MSE,RMSLE
1,0.9912749528884888,8.71187547500492,5.772179126739502,75.89677429199219,0.0598381784582448
2,0.9937573075294495,7.548608300486251,5.694638252258301,56.98148727416992,0.05210812214979087
3,0.9974415898323059,5.053109018351254,3.1785805225372314,25.533910751342773,0.03144416369594779
4,0.9976341128349304,5.067491119632929,3.3969690799713135,25.679466247558594,0.03043130449729853
5,0.9987788796424866,3.527894442841098,2.6153817176818848,12.446039199829102,0.029609895162356122
6,0.9973801970481873,4.801411127248552,3.5350961685180664,23.05354881286621,0.0361902865441445
7,0.9970332384109497,5.2016251152030675,3.853045701980591,27.056903839111328,0.039386253821759934
8,0.9975318312644958,5.081857477452765,3.0904691219329834,25.825275421142578,0.03369281907131053
9,0.9956888556480408,6.2192692372151495,3.286994457244873,38.6793098449707,0.03956708297732766
10,0.9974203705787659,4.9980600408311355,2.596299648284912,24.98060417175293,0.03671511777986701
11,0.9965593814849854,5.58122137560024,4.127188205718994,31.15003204345703,0.03973028336644362
12,0.9966614842414856,5.626839400588455,3.825148344039917,31.66132164001465,0.03573330070023007
13,0.996907651424408,5.340212537843491,3.980487823486328,28.51786994934082,0.03562723256082087
14,0.998927652835846,3.3061866335935037,2.202653408050537,10.930870056152344,0.03378284526296739
15,0.9974627494812012,4.813580082163115,3.5785300731658936,23.17055320739746,0.03749728583871848
16,0.9991377592086792,2.974712928577527,2.240823745727539,8.848917007446289,0.024273458437518786
17,0.9941770434379578,7.243290394379111,5.098093032836914,52.46525573730469,0.05178988574414804
18,0.9964305758476257,5.983134088767351,4.340378284454346,35.79789352416992,0.048071171429519756
19,0.9936158657073975,8.194269773988788,4.889240264892578,67.14605712890625,0.04253662156682467
20,0.9953251481056213,6.326177302019901,4.532101154327393,40.0205192565918,0.051002943783868375
